nombre_producto,precio_venta,codigo_de_barras,cantidad,categoria
 ALKA 2 MANZANA,400,77989086,,
 ENCENDEDOR ZENGAZ,4300,4895151823129,,
 KENT NEO AZUL 20U,4800,78026384,,
 OREO 36G,300,7590011251100,,
 PACK ESPONJA WINNEX,300,8698898464732,,
 SALCHICHAS PREMIUM RECETA DEL TATA,1500,7801930007120,,
 TKCH 44G MARINELLA,500,7803473003102,,
 mani confitado sembra sol,1250,7804612221654,,
1+1 CHOCO KRISPIS 140GR,750,7802900332419,,
1+1 ZUCARITAS,750,7802900332402,,
"120 CABERNET SAUVIGNON 1,5LT BOT",3400,7804330352111,,
120 HEROES CARTON 1L,2250,7804330341115,,
120 TRES MEDALLAS CABERNET SAUVIGNON,900,7804330004898,,
1865 CARMENERE 2020 750ML,9990,7804300123413,,
30/70 FRENK  TROPICAL GIN,2000,7804677380020,,
40/60 FRENK BLANCA 350ML,2000,7804677380013,,
40/60 FRENK NEGRA ,2000,7804677380006,,
7UP 3L DESECHABLE,2300,7801620001322,,
7up 2L,1700,7801620855161,,
ABRIDOR MULTIUSO,1000,5060054612012,,
ACE NATURALS MANZANILLA 400G,1400,7500435146364,,
ACEITE DE REYES 900ML,1800,7804609020062,,
ACEITE SALAD 5L,10450,7794870055996,,
ACEITUNAS NEGRAS DON JUAN 250G,1900,7802351000820,,
ACEITUNAS VERDES DON JUAN ,1900,7802351000806,,
ACEITUNAS VERDES LAMINADAS,1600,1970a018,,
ACETONA,800,,,
ACONDICIONADOR BALLERINA  PALTA/AGUACATE 750ML,1900,7804920003232,,
ACONDICIONADOR BALLERINA ACCION HIDRATANTE,1,7804920006189,,
ACONDICIONADOR BALLERINA DETOX CARBON ACTIVADO Y MENTA,1900,7804920007469,,
ACONDICIONADOR BALLERINA GRANADA 750ML,1900,7804920003218,,
ACONDICIONADOR ELVIVE REPARACION TOTAL,4200,7509552848014,,
ACONDICIONADOR FORTIFICANTE CAIDA,3500,7509552848045,,
ACONDICIONADOR MANZANILLA BALLERINA,450,7804920008114,,
ACONDICIONADOR NUTICION INTENSA ELVIVE,4200,7509552908558,,
ACONDICIONADOR ONDAS Y RIZOS,450,7804920008138,,
ACONDICIONADOR PANTENE RESTAURACION,1600,7501006721294,,
ACONDICONADOR ELVIVE OLEO EXTRAORDINARIO,4200,7509552908497,,
ACTIVADOR COLOR,800,7804947001891,,
ADHECIVO ACERO LIQUIDO PATEL,2500,7804663360265,,
AGUA JAHUEL  BERRIES 1.6L,950,7804625210270,,
AGUA JAHUEL VIDRIO 350CC,700,7804625210133,,
AGUA MINERAL CACHANTUN CON GAS 1.6 LITROS,1100,7801620852955,,
AGUA MINERAL CACHANTUN SIN GAS 1.5 LITROS,1100,7801620852962,,
AGUA MINERAL CON GAS JAHUEL 500CC,600,7804625210072,,
AGUA MINERAL VITAL 1.6 LITROS CON GAS,1000,7802820020953,,
AGUA MINERAL VITAL 1/2 LITRO SIN GAS,600,7802820600209,,
AGUA MINERAL VITAL GASIFICADA 600 ML,600,7802820600100,,
AGUA MINERAL VITAL SIN GAS 1.6 LITROS,1000,7802820021950,,
AGUA TONICA CANADA DRY,1900,7801620370107,,
AJI CHILANO CREMA 240G,1250,7802351234607,,
AJI CREMA,900,1970aK016,,
AJI DON JUAN 100G,500,7802351221003,,
AL TEXTILE CLEAN  750ML,6000,5900950764906,,
ALCAPARRAS,1950,7802410070801,,
ALFAJOR ALFI 2 U,500,7803473612229,,
ALFAJOR DE MAICENA,450,ALFAJOR DE MAICENA,,
ALFAJOR LAGUITO 70G,600,7803403000737,,
ALGABO CREMA HIDRATANTE 90ML,1400,7791274005114,,
ALGABO FOOT,1400,7791274004377,,
ALIÑO COMPLETO EDRA 15G,390,7802420004636,,
ALKA 2 MENTOL,400,77983428,,
ALKA MIEL 29G,400,78020153,,
ALKA MINTS,400,77559142,,
ALMENDRAS CONFITADAS TERRANO,2000,7802408005440,,
ALOE 500ML COCO,1300,6971873891382,,
ALOE ARANHJDANO 500ML,1300,6971549920163,,
ALOE DURAZNO 500ML,1300,6971549920071,,
ALOE FRUTILLA,1300,6971549920057,,
ALOE ORIGINAL 500ML,1300,6971549920026,,
ALUFOIL 4M,1550,7801875150233,,
ALUPLAST 15M,1400,7801875150455,,
AMBERRIES 25G AMBROSOLI,300,7802200135741,,
AMERICANA EN VINAGRE DON JUAN 360G,1200,7802351421205,,
AMPOLLETA  LED,840,7804660913402,,
AMPOLLETA GLOW 9W,1900,6877946220014,,
AMSTERDAMER NATURAL,6700,5707294329323,,
ANDINA DE DURAZNO 1.5 LTS DESECHABLE,1400,7802820500035,,
ANTIGRASA   WYN 450 ML,1500,7804609730619,,
APANADO DE POLLO PF,600,7801930018010,,
APOLLETA 6W RAYOVAC,1900,8888021305524,,
ARCOR JUGO EN POLVO DURAZNO,200,7790580419493,,
AROMATIZADOR AUTO ARBOL,1588,5997270799435,,
ARROZ BANQUETE 1K,2100,7803110102212,,
ARROZ TUCAPEL GRAN SELECCION GRADO2 1K,1300,7801420220138,,
ARVEJAS MINUTO VERDE 200G,800,7801220311111,,
ATUN LOMITOS EN AGUA ANGELMO 160G,1850,7801268002040,,
AUSTRAL PATAGONIA 500CC,2000,7809634100727,,
AUSTRAL TORRES DEL PAINE 500CC,2000,7809634100413,,
AXE BLACK,2800,7791293043746,,
AXE EPIC FRESH,2800,7791293044040,,
AXE FRAGANCIA MAS FRESCURA MUSK,2800,7791293043807,,
AXE FRAGANCIA+FRESCURA APOLLO,2800,7791293043814,,
AZUCAR BONANZA 1K,1560,7808743600036,,
AZUCAR DE REYES,1450,7804609021007,,
AZUCAR EL MONARCA 900 GR,1303,7804658860480,,
AZUCAR FLOR DAMA BLANCA,1500,7801505002666,,
AZUCAR FLOR IANSA,1600,7801505231974,,
Agua Cachantun Mas MANZANA Sin Gas 1.6 Lt,1450,7801620006624,,
